speaker	yob	behagav1	behagav2	fortsättav1	fortsättav2	försökav1	försökav2	glömmav1	glömmav2	kommav1	kommav2	lovav1	lovav2	planerav1	planerav2	riskerav1	riskerav2	slippav1	slippav2	slutav1	slutav2	vägrav1	vägrav2
user1254	1984			1.0	0.0	1.0	12.0	0.0	4.0	8.0	70.0							0.0	2.0	0.0	2.0	0.0	3.0
user1255	1975			0.0	2.0	0.0	19.0	1.0	4.0	55.0	0.0			1.0	0.0			0.0	4.0	0.0	3.0	0.0	2.0
user1256	1981			0.0	2.0	0.0	19.0	2.0	8.0	3.0	78.0			4.0	0.0			1.0	9.0	0.0	5.0	2.0	7.0
user1257	1986			0.0	1.0	0.0	25.0	1.0	5.0	15.0	9.0			1.0	0.0			0.0	2.0	0.0	4.0	0.0	1.0
user1258	1972			1.0	1.0	0.0	5.0			1.0	5.0			2.0	0.0			0.0	1.0				
user1259	1975			0.0	2.0	0.0	3.0	0.0	1.0	0.0	24.0	1.0	1.0					0.0	1.0			0.0	4.0
user1260	1985			1.0	0.0	0.0	9.0	2.0	0.0	31.0	1.0							1.0	1.0			2.0	0.0
user1261	1977			1.0	1.0	0.0	23.0			2.0	32.0	2.0	0.0	2.0	0.0			0.0	3.0	0.0	2.0	0.0	4.0
user1262	1986			1.0	0.0	0.0	5.0	0.0	1.0	4.0	27.0			3.0	0.0					0.0	3.0	0.0	1.0
user1263	1987			1.0	0.0	0.0	4.0			0.0	2.0									0.0	1.0	1.0	0.0
